 0 1 2 3 4 5 6 7
actor 3.46512891976e-104 4.7051810092e-104 4.62118649955e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
add 8.0919767282e-104 7.35867247198e-104 4.68075649225e-104 0.00133487252832 0.000601546616786 6.37807823755e-104 7.96011756868e-104 5.51913038279e-104
added 3.46512760507e-104 0.00047051810092 4.63164555757e-104 5.36992018053e-104 4.78054042327e-104 6.26260697625e-104 7.89027391963e-104 0.00053556427267
adders 0.000346512760507 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
addeth 3.4937670534e-104 0.00047051810092 4.64608196852e-104 5.1357481874e-104 4.50232327076e-104 6.29621928644e-104 4.63641827873e-104 5.3556427267e-104
adding 3.46512760507e-104 4.71685878781e-104 4.61588119472e-104 5.03281337428e-104 7.67454771877e-104 6.22814387895e-104 5.49168781606e-104 0.00053556427267
addition 6.31208144706e-104 4.76932734593e-104 4.61588119472e-104 0.00050191538196 0.000449493786929 6.22827059666e-104 6.28247324548e-104 6.99524957533e-104
adieu 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
adjunct 0.000693025521013 1.46756941229e-51 4.62968789276e-104 5.02201524797e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
admire 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
admired 3.46512760507e-104 4.72071164456e-104 4.61588119472e-104 5.01093411657e-104 0.000450232327076 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
admiring 6.19258447518e-104 4.70533759554e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
admit 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 0.000622814387895 5.6354544486e-104 5.3556427267e-104
admitted 0.000346512760507 4.7816375994e-104 4.61588119472e-104 5.38816480223e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
adonis 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 0.000450232327076 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
adore 7.34549179856e-104 5.25765041195e-79 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.31612732775e-104 4.63641827873e-104 7.17977044382e-104
adoting 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
adulterate 2.3327058165e-90 4.70521387172e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
advance 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
advantage 0.000385156066481 0.000415749610971 4.61651056228e-104 5.34748967285e-104 6.5822701839e-104 0.000625853599614 5.62709621205e-104 5.3556427267e-104
adverse 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 0.00053556427267
advised 6.19145075614e-104 4.7368552362e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
advocate 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
afar 3.53907937411e-79 0.00047051810092 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
affable 3.46512760507e-104 0.00047051810092 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.24684867937e-104 4.63641827873e-104 5.3556427267e-104
affairs 0.000351010171276 4.72911861629e-104 4.61588119472e-104 5.11753372781e-104 4.50232327076e-104 6.22814387895e-104 1.02372978176e-103 0.000528613150512
affections 6.19258447518e-104 4.7051810092e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
afford 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
affords 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
afloat 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
afresh 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.81944272376e-104 6.22814387895e-104 4.63641827953e-104 0.00053556427267
after 2.2042046659e-65 0.00153227955289 4.61924620787e-104 0.000503546156461 4.50507029589e-104 0.00126874409247 6.03790743308e-104 0.00198234377061
afterloss 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
afterwards 3.46512760507e-104 4.7051810092e-104 4.62403497719e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
again 0.000657022761305 0.000535912522708 0.00138504660492 4.3895491975e-94 0.00133462589957 6.25735281731e-104 2.78360138197e-36 0.00053556427267
against 5.01400500214e-104 0.00223259618434 4.61600962544e-104 5.03227763241e-104 5.2829940187e-104 0.00626287176108 5.91809636122e-104 0.0017134127488
age 0.000245659768728 0.00199228535167 0.00276960933042 7.1815344338e-104 0.00101291632059 7.47807539044e-104 0.000172771384856 0.000768125465664
ages 3.46512760507e-104 0.000466595097555 4.62112716679e-104 0.000501093411657 0.00045398619527 6.24685885107e-104 4.63641827873e-104 5.3556427267e-104
aggravate 4.24216703942e-104 0.00047051810092 4.61614868113e-104 5.03650498014e-104 4.8764180855e-104 6.24420583632e-104 4.63641827873e-104 5.3556427267e-104
ah 1.05308467376e-82 4.8459754198e-85 4.61588870276e-104 5.03424545167e-104 4.98063287545e-104 0.00327383199707 0.000520179833173 0.000332876549627
aid 3.46512760507e-104 4.91224306607e-104 0.000461589375486 5.01093411657e-104 0.000450231101962 6.22816943866e-104 8.38580398084e-104 5.42720980404e-104
air 5.5344588266e-104 7.61853300557e-104 0.000923877889075 0.00100142512204 4.50232327076e-104 6.54311426159e-104 4.63641827873e-104 7.26215281914e-104
alack 3.46803006671e-104 6.47449180102e-104 0.000461588119472 5.07886203196e-104 6.31427272169e-104 0.000642264037796 5.22425806027e-104 0.000518839325711
alas 3.46513050102e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 0.00124562877579 4.74619902074e-104 5.3556427267e-104
alchemy 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
alien 3.49896123891e-104 4.71276866394e-104 4.61911707931e-104 0.000501093411657 2.43701421755e-37 6.25971786536e-104 4.63641827873e-104 5.3556427267e-104
alike 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01303865379e-104 4.61967353913e-104 6.2281779797e-104 0.000463641827873 5.36384574934e-104
alive 0.000346010401255 4.7051810092e-104 0.000462257310014 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
all 0.0163335812185 3.46327121979e-15 0.00138569949017 9.86165559268e-104 0.00181962243214 0.00751738431379 1.23042697308e-65 0.0271795682347
allayed 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
alleating 3.473391025e-104 0.00047051810092 4.61588119472e-104 5.02868950719e-104 4.50232327076e-104 6.26058771942e-104 4.63641827873e-104 5.3556427267e-104
allege 3.46512760507e-104 0.00047051810092 4.62161400326e-104 5.29151508989e-104 5.01244364976e-104 6.25709812389e-104 4.63641827873e-104 5.3556427267e-104
alloblivious 6.13299486393e-104 6.07141173654e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
allow 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
alltyrant 3.71758317825e-104 4.74596135874e-104 4.64697786037e-104 0.000501093411657 6.5107328664e-104 6.24682319796e-104 4.63641827873e-104 5.3556427267e-104
almost 0.000693025521013 6.15739746756e-104 4.64414120913e-104 5.29830327954e-104 4.50383645754e-104 6.24674270164e-104 4.63641827873e-104 0.00053556427267
aloft 5.10928561497e-104 0.00047051810092 4.61588119472e-104 5.76700482921e-104 4.50232327076e-104 6.26138892492e-104 4.63641827873e-104 5.3556427267e-104
alone 4.96256541329e-104 7.23111169498e-100 0.00553934140354 6.79271105299e-104 0.001362950101 6.47037285131e-104 1.06771063486e-53 0.00212735217296
already 0.000346512760424 7.04653075413e-104 4.61588119472e-104 1.1990386262e-13 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
alter 3.99648715584e-104 5.55752176947e-104 4.61788907738e-104 5.96306554452e-104 4.90392703594e-104 6.30489720719e-104 0.000463641827873 9.6868601621e-104
alteration 1.19717856579e-63 6.12340191502e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
altered 5.82193212992e-104 4.78523407285e-104 4.61982763191e-104 0.000544278392954 0.000411430630283 6.23561819566e-104 4.63641827873e-104 5.3556427267e-104
alters 3.46512760559e-104 4.70546017934e-104 4.61589322631e-104 5.04632788405e-104 4.71437143291e-104 6.22814387895e-104 6.102212203e-104 0.00107112854534
although 0.000529540161955 0.00114590906498 4.62568290957e-104 5.07188726491e-104 5.40894209891e-104 0.00313673124471 7.34211193249e-104 7.19101745812e-104
altring 0.000346512760507 4.7051810092e-104 4.61588119472e-104 5.01101130127e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
always 3.46890756499e-104 4.70684960539e-104 4.61621324612e-104 1.41117189527e-103 5.19220014161e-104 6.28089545204e-104 8.90758547917e-104 0.00053556427267
am 0.00284820033953 0.00590182012467 4.61627212767e-104 0.00133467458872 8.8117689586e-100 0.00122436414181 0.000673200619119 0.00436794717826
amazeth 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
ambush 0.000346512760507 4.77725328731e-104 4.623812429e-104 5.03921793505e-104 6.1401670958e-104 6.22858300803e-104 4.63641827873e-104 5.3556427267e-104
amen 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
amends 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
amis 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
amiss 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
among 1.12704460807e-94 0.000940994424498 4.61588121917e-104 5.0628738245e-104 5.54938112079e-104 0.000622869687637 6.47502821455e-104 5.58705205604e-104
an 0.0020371547838 0.00117570198226 4.61639088817e-104 1.20330661452e-16 0.00343092749773 0.0006239938308 5.63314796666e-104 5.3556427267e-104
anchored 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01825463257e-104 0.000450232327076 6.22814387895e-104 6.92593139416e-38 1.26057217087e-35
and 3.26179817425e-37 0.0463721842982 4.62922258282e-104 0.0472162427566 6.66581377048e-104 0.147427324174 0.0280533429749 6.94108118655e-104
anew 2.26748618258e-103 1.11660988223e-63 0.000923464274737 9.03081757042e-104 0.000449951377416 6.27172523855e-104 4.63641827873e-104 5.3556427267e-104
angel 0.000748670796107 1.1820584033e-69 4.61596018722e-104 0.000929738973929 5.44203246898e-104 6.31831691626e-104 0.000456220321604 1.44919157607e-103
anger 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.70751739787e-104 4.63641827873e-104 0.00053556427267
angry 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 0.000622814387895 4.67977569782e-104 5.3556427267e-104
annexed 4.37988410637e-104 7.52081701047e-104 4.6160250307e-104 5.02267533888e-104 0.000450232327076 6.23863712633e-104 4.63641827873e-104 5.3556427267e-104
annoy 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
anon 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 0.000622814387895 5.6354544486e-104 5.3556427267e-104
another 0.000557011705419 0.00052181326439 0.000923298299711 0.00160307106015 4.64975143897e-104 0.000675188562226 6.72459793614e-104 5.55253344128e-104
anothers 7.55070426938e-101 4.70577578352e-104 4.61588119472e-104 0.00150328023497 6.60006900911e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
answer 3.69269953714e-104 5.26748794383e-104 4.62287907779e-104 1.18457964343e-103 7.85708313286e-104 6.29025950801e-104 0.000927283655746 0.00053556427267
answered 3.46512760507e-104 0.00047051810092 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.24354366744e-104 4.63641827873e-104 5.3556427267e-104
answers 3.46512760507e-104 0.00047051810092 4.61588119472e-104 9.75769858453e-104 4.50232327076e-104 6.30079702593e-104 4.63641827873e-104 5.3556427267e-104
anticipate 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
antique 0.000875984839391 5.03997282912e-104 4.6178687368e-104 0.00123870207368 4.62441864063e-104 6.25564706665e-104 4.63641827873e-104 5.3556427267e-104
antiquity 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 0.000450232327076 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
any 5.79500694287e-104 6.45712820014e-104 0.000463558627794 0.00126587130183 0.00300797923084 6.2770745867e-104 6.89846669122e-104 0.000422326586975
apparel 3.46513117436e-104 4.7051810092e-104 4.62118648496e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
appeal 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 6.26161757917e-104 0.00053556427267
appear 3.46512760507e-104 4.7051810092e-104 0.00184635247789 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
appearance 8.90661936612e-104 4.82604098999e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
appears 0.000346512760507 4.71743479891e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
appetite 3.47006922672e-104 0.000966055574903 0.000461643801672 5.14232154476e-104 5.28055111668e-104 6.23554534305e-104 4.63641827873e-104 0.000507021522372
apple 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 0.000450232327076 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
applying 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.23260450354e-104 0.000463641827873 5.3556427267e-104
approve 0.000346512760506 6.51921618652e-104 0.000923176238944 5.49590503498e-18 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
april 3.46884021976e-104 8.56480981271e-104 4.61689161861e-104 5.01093411657e-104 0.00135069698123 6.23020030573e-104 4.63641827873e-104 5.3556427267e-104
aprils 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 6.0091434051e-104 0.00053556427267
are 0.00153576470549 0.00658209280423 0.00323919447113 0.00935650752233 0.00572686821721 0.00188957676267 3.00640351283e-12 0.00489264130995
argument 4.21282703826e-78 4.70675348803e-104 0.00184661268385 5.01430700601e-104 0.00090021084966 6.22814387898e-104 4.63641827873e-104 5.40853096819e-104
aright 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
arise 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
arising 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
array 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
arrest 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
art 0.00201370748175 0.00358833110578 0.00462526596364 0.00254896856748 0.000813723685943 9.38167518864e-89 0.00477402166293 0.00554364382876
arts 3.46512760507e-104 4.74590351214e-104 4.62117412741e-104 0.000490747280115 5.38723362826e-104 6.22814387895e-104 4.71144398464e-104 0.000546622127923
as 0.0120300745934 0.00109520472501 4.71225518006e-104 7.35223966012e-104 0.000837693661268 0.0139003391723 0.023445142519 0.0049316160887
ashes 4.44266695336e-104 5.08415252379e-104 4.61702066193e-104 5.14844874327e-104 0.000450232327076 6.24032409812e-104 4.63641827873e-104 8.40514773225e-104
aside 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
askance 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 0.000622814387895 4.63641827873e-104 5.3556427267e-104
asked 3.46512760507e-104 4.7051810092e-104 4.61861163761e-104 5.01093411657e-104 6.56992638455e-104 6.27349375508e-104 4.63641827873e-104 0.00053556427267
asleep 3.46512760507e-104 4.7051810092e-104 0.000923176238944 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
aspect 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
assailed 2.89387108389e-89 2.45046593409e-98 0.000461588119472 0.000501093411657 4.68085675115e-104 6.31044621131e-104 4.63641827873e-104 5.3556427267e-104
assemble 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
assistance 1.71946411293e-37 7.4191813409e-104 4.62774773752e-104 0.000501093411657 4.96972368383e-104 6.27154445124e-104 4.63641827873e-104 5.3556427267e-104
assure 6.13440119868e-104 6.02969022045e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
assured 0.000346512760507 5.83103014506e-104 0.00138476435842 2.63612483763e-81 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
astonished 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
astronomy 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
at 5.60899739262e-104 0.00439842759138 4.61609262249e-104 5.11755576763e-104 5.4006000908e-104 1.74136255746e-22 0.00701699084141 0.000812686873337
attaint 6.17769699654e-104 4.71351284349e-104 4.61588119472e-104 0.000501093411657 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
attainted 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
attend 3.46513046306e-104 4.70559852892e-104 4.61588119472e-104 5.01105011303e-104 4.50592946694e-104 6.22814387895e-104 7.72456522134e-104 0.00053556427267
attending 3.46512799753e-104 4.7051810092e-104 1.43587493926e-99 5.01093411657e-104 4.50232327076e-104 0.00124562877579 4.75838459052e-104 5.3556427267e-104
audit 3.46512760507e-104 4.7051810092e-104 4.6172144315e-104 5.15992906529e-104 0.00135069698123 6.22988676435e-104 4.63641827873e-104 5.3556427267e-104
aught 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 0.000900464654151 6.22814387895e-104 4.63641827873e-104 5.50652323015e-104
augurs 0.000346512760507 6.09854417814e-65 4.615899589e-104 8.74971669394e-104 4.50232327076e-104 6.57299850014e-104 4.63641827873e-104 5.3556427267e-104
authority 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
authorizing 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 6.81035567515e-104 0.000463641827873 5.3556427267e-104
autumn 4.44374294974e-104 4.7051810092e-104 4.61588119472e-104 0.00100218682331 4.50232327076e-104 6.26902470568e-104 4.63641827873e-104 5.3556427267e-104
awake 3.46512760507e-104 4.7051810092e-104 0.000461588119472 5.01093411657e-104 4.50232327076e-104 6.22814387895e-104 4.63641827873e-104 5.3556427267e-104
awakes 3.46513106528e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 0.000622814387895 4.9022804106e-104 5.3556427267e-104
awards 3.61671349669e-104 0.00047051810092 4.61588119472e-104 5.01093411657e-104 8.63040913737e-104 6.25897504053e-104 4.63641827873e-104 5.3556427267e-104
away 3.77240761768e-104 5.4453590484e-104 0.00553967938423 5.74883865944e-104 0.00270078731285 6.2456137338e-104 5.48122158814e-104 9.94247886911e-104
ay 3.46512760507e-104 4.7051810092e-104 4.61588119472e-104 5.01093411657e-104 4.50232327076e-104 0.00124562877579 6.09477335303e-104 5.3556427267e-104
aye 6.84662942095e-66 0.00047051810092 4.62604093661e-104 9.87090626201e-104 6.47915642105e-104 6.24473066484e-104 4.63641827873e-104 5.3556427267e-104
